Category,City,Country,Customer ID,Customer Name,Discount Category ,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit Status ,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales,Shipping Days
Furniture,New York City,United States,RA-19285,Ralph Arnett,Low Discount ,25-12-2017,CA-2017-161480,10035,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Profit,East,Consumer,29-12-2017,Standard Class,New York,Bookcases,0.2,4.7996,0.025,2,191.984,4
Furniture,Waynesboro,United States,NP-18325,Naresj Patel,No Discount ,21-06-2014,US-2014-117135,22980,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Profit,South,Consumer,23-06-2014,Second Class,Virginia,Furnishings,0,14.5614,0.14,1,104.01,2
Technology,Waynesboro,United States,NP-18325,Naresj Patel,No Discount ,21-06-2014,US-2014-117135,22980,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Profit,South,Consumer,23-06-2014,Second Class,Virginia,Phones,0,74.0532,0.26,1,284.82,2
Office Supplies,Waynesboro,United States,NP-18325,Naresj Patel,No Discount ,21-06-2014,US-2014-117135,22980,OFF-ST-10002444,Recycled Eldon Regeneration Jumbo File,Profit,South,Consumer,23-06-2014,Second Class,Virginia,Storage,0,10.3152,0.28,3,36.84,2
Technology,Los Angeles,United States,AB-10165,Alan Barnes,No Discount ,28-03-2015,CA-2015-131534,90036,TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,Profit,West,Consumer,02-04-2015,Standard Class,California,Accessories,0,24.936,0.15,1,166.24,5
Office Supplies,Los Angeles,United States,AB-10165,Alan Barnes,No Discount ,28-03-2015,CA-2015-131534,90036,OFF-PA-10000743,Xerox 1977,Profit,West,Consumer,02-04-2015,Standard Class,California,Paper,0,16.032,0.48,5,33.4,5
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,Low Discount ,14-05-2015,CA-2015-119291,19013,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Profit,East,Home Office,17-05-2015,First Class,Pennsylvania,Art,0.2,17.3488,0.0875,8,198.272,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,Low Discount ,14-05-2015,CA-2015-119291,19013,OFF-LA-10002312,Avery 490,Profit,East,Home Office,17-05-2015,First Class,Pennsylvania,Labels,0.2,17.76,0.375,4,47.36,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,Low Discount ,14-05-2015,CA-2015-119291,19013,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Profit,East,Home Office,17-05-2015,First Class,Pennsylvania,Envelopes,0.2,62.8075,0.3125,7,200.984,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,Low Discount ,14-05-2015,CA-2015-119291,19013,OFF-LA-10003510,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Profit,East,Home Office,17-05-2015,First Class,Pennsylvania,Labels,0.2,31.7512,0.325,4,97.696,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,Low Discount ,14-05-2015,CA-2015-119291,19013,OFF-AR-10001118,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",Profit,East,Home Office,17-05-2015,First Class,Pennsylvania,Art,0.2,0.8088,0.3,1,2.696,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,High Discount ,14-05-2015,CA-2015-119291,19013,OFF-BI-10001575,GBC Linen Binding Covers,Loss,East,Home Office,17-05-2015,First Class,Pennsylvania,Binders,0.7,-13.6312,-0.733333333,2,18.588,3
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,High Discount ,14-05-2015,CA-2015-119291,19013,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Loss,East,Home Office,17-05-2015,First Class,Pennsylvania,Binders,0.7,-3.4272,-0.7,3,4.896,3
Furniture,Cleveland,United States,Dl-13600,Dorris liebe,Low Discount ,02-09-2017,CA-2017-114552,44105,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Profit,East,Corporate,08-09-2017,Standard Class,Ohio,Furnishings,0.2,4.1448,0.275,3,15.072,6
Furniture,Seattle,United States,AS-10285,Alejandro Savely,No Discount ,04-11-2016,CA-2016-163755,98103,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",Profit,West,Corporate,08-11-2016,Second Class,Washington,Furnishings,0,35.6796,0.17,3,209.88,4
Furniture,Long Beach,United States,JK-15370,Jay Kimmel,Low Discount ,09-04-2015,CA-2015-142027,90805,FUR-TA-10002774,Laminate Occasional Tables,Loss,West,Consumer,14-04-2015,Standard Class,California,Tables,0.2,-13.8717,-0.0375,3,369.912,5
Office Supplies,Cary,United States,BN-11470,Brad Norvell,Low Discount ,12-09-2014,CA-2014-138527,27511,OFF-PA-10001800,Xerox 220,Profit,South,Corporate,17-09-2014,Standard Class,North Carolina,Paper,0.2,3.6288,0.35,2,10.368,5
Office Supplies,Cary,United States,BN-11470,Brad Norvell,Low Discount ,12-09-2014,CA-2014-138527,27511,OFF-AP-10001469,Fellowes 8 Outlet Superior Workstation Surge Protector,Profit,South,Corporate,17-09-2014,Standard Class,North Carolina,Appliances,0.2,18.7695,0.1125,5,166.84,5
Technology,Cary,United States,BN-11470,Brad Norvell,Low Discount ,12-09-2014,CA-2014-138527,27511,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,Profit,South,Corporate,17-09-2014,Standard Class,North Carolina,Accessories,0.2,2.2824,0.15,1,15.216,5
Technology,New York City,United States,DP-13165,David Philippe,No Discount ,02-12-2014,CA-2014-112158,10035,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Profit,East,Consumer,04-12-2014,First Class,New York,Accessories,0,52.7824,0.44,4,119.96,2
Furniture,New York City,United States,DP-13165,David Philippe,Low Discount ,02-12-2014,CA-2014-112158,10035,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Loss,East,Consumer,04-12-2014,First Class,New York,Bookcases,0.2,-110.49,-0.125,5,883.92,2
Office Supplies,New York City,United States,DP-13165,David Philippe,Low Discount ,02-12-2014,CA-2014-112158,10035,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",Profit,East,Consumer,04-12-2014,First Class,New York,Binders,0.2,15.768,0.3375,8,46.72,2
Office Supplies,New York City,United States,TH-21550,Tracy Hopkins,No Discount ,05-04-2014,CA-2014-113887,10035,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Profit,East,Home Office,07-04-2014,First Class,New York,Paper,0,26.6304,0.48,1,55.48,2
Office Supplies,Palm Coast,United States,AP-10915,Arthur Prichep,Low Discount ,03-09-2017,CA-2017-146136,32137,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Profit,South,Consumer,07-09-2017,Standard Class,Florida,Envelopes,0.2,8.8624,0.3625,4,24.448,4
Office Supplies,Mount Vernon,United States,RS-19765,Roland Schwarz,No Discount ,19-05-2017,US-2017-100048,10550,OFF-AP-10001154,Bionaire Personal Warm Mist Humidifier/Vaporizer,Profit,East,Corporate,24-05-2017,Standard Class,New York,Appliances,0,109.7226,0.39,6,281.34,5
Technology,Mount Vernon,United States,RS-19765,Roland Schwarz,No Discount ,19-05-2017,US-2017-100048,10550,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,Profit,East,Corporate,24-05-2017,Standard Class,New York,Phones,0,89.3142,0.29,2,307.98,5
Technology,Mount Vernon,United States,RS-19765,Roland Schwarz,No Discount ,19-05-2017,US-2017-100048,10550,TEC-AC-10001606,Logitech Wireless Performance Mouse MX for PC and Mac,Profit,East,Corporate,24-05-2017,Standard Class,New York,Accessories,0,113.9886,0.38,3,299.97,5
Office Supplies,Seattle,United States,Dl-13600,Dorris liebe,Low Discount ,01-07-2014,CA-2014-153150,98105,OFF-BI-10003355,Cardinal Holdit Business Card Pockets,Profit,West,Corporate,06-07-2014,Second Class,Washington,Binders,0.2,6.972,0.35,5,19.92,5
Furniture,Dover,United States,SV-20365,Seth Vernon,No Discount ,11-01-2014,CA-2014-130092,19901,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Profit,East,Consumer,14-01-2014,First Class,Delaware,Furnishings,0,3.0814,0.31,2,9.94,3
Furniture,Newark,United States,KC-16540,Kelly Collister,Low Discount ,24-09-2017,CA-2017-108910,43055,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Profit,East,Consumer,29-09-2017,Standard Class,Ohio,Furnishings,0.2,24.4758,0.2375,3,103.056,5
Office Supplies,Orem,United States,CK-12325,Christine Kargatis,Low Discount ,02-06-2014,CA-2014-104472,84057,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,Profit,West,Home Office,07-06-2014,Standard Class,Utah,Binders,0.2,19.4376,0.325,3,59.808,5
Furniture,Orem,United States,CK-12325,Christine Kargatis,No Discount ,02-06-2014,CA-2014-104472,84057,FUR-FU-10000246,Aluminum Document Frame,Profit,West,Home Office,07-06-2014,Standard Class,Utah,Furnishings,0,21.996,0.3,6,73.32,5
Office Supplies,Los Angeles,United States,RD-19810,Ross DeVincentis,No Discount ,13-02-2016,CA-2016-112942,90045,OFF-PA-10004092,Tops Green Bar Computer Printout Paper,Profit,West,Home Office,18-02-2016,Standard Class,California,Paper,0,73.41,0.5,3,146.82,5
Furniture,Detroit,United States,MP-17965,Michael Paige,No Discount ,15-12-2016,CA-2016-142335,48205,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Profit,Central,Corporate,19-12-2016,Standard Class,Michigan,Tables,0,231.4116,0.14,3,1652.94,4
Office Supplies,Detroit,United States,MP-17965,Michael Paige,No Discount ,15-12-2016,CA-2016-142335,48205,OFF-ST-10000036,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Profit,Central,Corporate,19-12-2016,Standard Class,Michigan,Storage,0,80.0199,0.27,3,296.37,4
Furniture,Philadelphia,United States,MR-17545,Mathew Reese,Low Discount ,07-10-2014,CA-2014-117429,19140,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Profit,East,Home Office,13-10-2014,Standard Class,Pennsylvania,Furnishings,0.2,21.112,0.1625,5,129.92,6
Office Supplies,Hialeah,United States,SC-20695,Steve Chapman,Low Discount ,07-07-2016,CA-2016-114713,33012,OFF-SU-10004664,Acme Softgrip Scissors,Profit,South,Corporate,12-07-2016,Standard Class,Florida,Supplies,0.2,5.1282,0.1125,7,45.584,5
Office Supplies,Austin,United States,JF-15355,Jay Fein,Low Discount ,16-09-2017,CA-2017-144113,78745,OFF-EN-10001141,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Profit,Central,Consumer,20-09-2017,Standard Class,Texas,Envelopes,0.2,6.3684,0.3625,2,17.568,4
Technology,Austin,United States,JF-15355,Jay Fein,Low Discount ,16-09-2017,CA-2017-144113,78745,TEC-PH-10002170,ClearSounds CSC500 Amplified Spirit Phone Corded phone,Profit,Central,Consumer,20-09-2017,Standard Class,Texas,Phones,0.2,5.5992,0.1,1,55.992,4
Office Supplies,Oceanside,United States,EG-13900,Emily Grady,No Discount ,03-12-2016,US-2016-150861,11572,OFF-PA-10001954,Xerox 1964,Profit,East,Consumer,06-12-2016,First Class,New York,Paper,0,84.0512,0.46,8,182.72,3
Furniture,Oceanside,United States,EG-13900,Emily Grady,Medium Discount,03-12-2016,US-2016-150861,11572,FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",Loss,East,Consumer,06-12-2016,First Class,New York,Tables,0.4,-153.3456,-0.383333333,2,400.032,3
Office Supplies,Oceanside,United States,EG-13900,Emily Grady,No Discount ,03-12-2016,US-2016-150861,11572,OFF-ST-10004634,"Personal Folder Holder, Ebony",Profit,East,Consumer,06-12-2016,First Class,New York,Storage,0,10.089,0.3,3,33.63,3
Furniture,Oceanside,United States,EG-13900,Emily Grady,Low Discount ,03-12-2016,US-2016-150861,11572,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Profit,East,Consumer,06-12-2016,First Class,New York,Chairs,0.1,102.4998,0.188888889,3,542.646,3
Office Supplies,Oceanside,United States,EG-13900,Emily Grady,No Discount ,03-12-2016,US-2016-150861,11572,OFF-LA-10001317,Avery 520,Profit,East,Consumer,06-12-2016,First Class,New York,Labels,0,3.024,0.48,2,6.3,3
Office Supplies,Seattle,United States,DS-13030,Darrin Sayre,No Discount ,21-01-2017,CA-2017-131954,98115,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Storage,0,9.7176,0.04,3,242.94,4
Technology,Seattle,United States,DS-13030,Darrin Sayre,No Discount ,21-01-2017,CA-2017-131954,98115,TEC-AC-10003610,Logitech Illuminated - Keyboard,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Accessories,0,86.3856,0.48,3,179.97,4
Office Supplies,Seattle,United States,DS-13030,Darrin Sayre,Low Discount ,21-01-2017,CA-2017-131954,98115,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Binders,0.2,33.6474,0.3375,6,99.696,4
Office Supplies,Seattle,United States,DS-13030,Darrin Sayre,Low Discount ,21-01-2017,CA-2017-131954,98115,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Binders,0.2,9.4284,0.3375,4,27.936,4
Furniture,Seattle,United States,DS-13030,Darrin Sayre,No Discount ,21-01-2017,CA-2017-131954,98115,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Bookcases,0,18.6956,0.22,1,84.98,4
Office Supplies,Seattle,United States,DS-13030,Darrin Sayre,Low Discount ,21-01-2017,CA-2017-131954,98115,OFF-BI-10000138,Acco Translucent Poly Ring Binders,Profit,West,Home Office,25-01-2017,Standard Class,Washington,Binders,0.2,6.552,0.35,5,18.72,4
Technology,San Francisco,United States,GZ-14470,Gary Zandusky,No Discount ,08-09-2014,CA-2014-132500,94110,TEC-AC-10001383,Logitech Wireless Touch Keyboard K400,Profit,West,Consumer,12-09-2014,Standard Class,California,Accessories,0,8.4966,0.17,2,49.98,4
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,Low Discount ,04-01-2014,CA-2014-112326,60540,OFF-LA-10003223,Avery 508,Profit,Central,Home Office,08-01-2014,Standard Class,Illinois,Labels,0.2,4.2717,0.3625,3,11.784,4
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,Low Discount ,04-01-2014,CA-2014-112326,60540,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Loss,Central,Home Office,08-01-2014,Standard Class,Illinois,Storage,0.2,-64.7748,-0.2375,3,272.736,4
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,High Discount ,04-01-2014,CA-2014-112326,60540,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Loss,Central,Home Office,08-01-2014,Standard Class,Illinois,Binders,0.8,-5.487,-1.55,2,3.54,4
Office Supplies,Dallas,United States,SS-20875,Sung Shariari,Low Discount ,27-08-2016,US-2016-146710,75220,OFF-SU-10004498,Martin-Yale Premier Letter Opener,Loss,Central,Consumer,01-09-2016,Standard Class,Texas,Supplies,0.2,-10.948,-0.2125,5,51.52,5
Office Supplies,Dallas,United States,SS-20875,Sung Shariari,Low Discount ,27-08-2016,US-2016-146710,75220,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Profit,Central,Consumer,01-09-2016,Standard Class,Texas,Paper,0.2,1.1466,0.325,1,3.528,5
Office Supplies,Dallas,United States,SS-20875,Sung Shariari,Low Discount ,27-08-2016,US-2016-146710,75220,OFF-PA-10004971,Xerox 196,Profit,Central,Consumer,01-09-2016,Standard Class,Texas,Paper,0.2,1.6762,0.3625,1,4.624,5
Office Supplies,Dallas,United States,SS-20875,Sung Shariari,Low Discount ,27-08-2016,US-2016-146710,75220,OFF-SU-10004261,"Fiskars 8"" Scissors, 2/Pack",Profit,Central,Consumer,01-09-2016,Standard Class,Texas,Supplies,0.2,6.2064,0.1125,4,55.168,5
Furniture,San Diego,United States,MH-17785,Maya Herman,Low Discount ,27-05-2014,CA-2014-124429,92105,FUR-TA-10002607,KI Conference Tables,Loss,West,Corporate,27-05-2014,Same Day,California,Tables,0.2,-28.356,-0.05,10,567.12,0
Office Supplies,San Diego,United States,MH-17785,Maya Herman,No Discount ,27-05-2014,CA-2014-124429,92105,OFF-ST-10001809,Fellowes Officeware Wire Shelving,Profit,West,Corporate,27-05-2014,Same Day,California,Storage,0,7.1864,0.02,4,359.32,0
Technology,Evanston,United States,PB-19105,Peter Bühler,Low Discount ,20-03-2016,CA-2016-150889,60201,TEC-PH-10000004,Belkin iPhone and iPad Lightning Cable,Profit,Central,Consumer,22-03-2016,Second Class,Illinois,Phones,0.2,0.8994,0.075,1,11.992,2
Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,No Discount ,02-10-2017,CA-2017-126074,48183,OFF-BI-10003638,GBC Durable Plastic Covers,Profit,Central,Consumer,06-10-2017,Standard Class,Michigan,Binders,0,26.703,0.46,3,58.05,4
Furniture,Trenton,United States,RF-19735,Roland Fjeld,No Discount ,02-10-2017,CA-2017-126074,48183,FUR-FU-10003577,Nu-Dell Leatherette Frames,Profit,Central,Consumer,06-10-2017,Standard Class,Michigan,Furnishings,0,56.7864,0.36,11,157.74,4
Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,No Discount ,02-10-2017,CA-2017-126074,48183,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Profit,Central,Consumer,06-10-2017,Standard Class,Michigan,Art,0,22.792,0.4,7,56.98,4
Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,No Discount ,02-10-2017,CA-2017-126074,48183,OFF-BI-10000546,Avery Durable Binders,Profit,Central,Consumer,06-10-2017,Standard Class,Michigan,Binders,0,1.4112,0.49,1,2.88,4
Technology,San Francisco,United States,YC-21895,Yoseph Carroll,Low Discount ,07-04-2016,CA-2016-110499,94110,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Profit,West,Corporate,09-04-2016,First Class,California,Copiers,0.2,374.9925,0.3125,3,1199.976,2
Furniture,Los Angeles,United States,MS-17830,Melanie Seite,No Discount ,07-12-2015,CA-2015-135272,90036,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,Profit,West,Consumer,12-12-2015,Standard Class,California,Furnishings,0,28.7712,0.36,4,79.92,5
Furniture,Jacksonville,United States,NB-18655,Nona Balk,Medium Discount,18-09-2016,CA-2016-140928,32216,FUR-TA-10001095,Chromcraft Round Conference Tables,Loss,South,Corporate,22-09-2016,Standard Class,Florida,Tables,0.45,-167.3184,-0.436363636,4,383.438,4
Office Supplies,Cottage Grove,United States,DC-13285,Debra Catini,No Discount ,29-12-2014,CA-2014-106803,55016,OFF-ST-10002444,Recycled Eldon Regeneration Jumbo File,Profit,Central,Consumer,02-01-2015,Standard Class,Minnesota,Storage,0,6.8768,0.28,2,24.56,4
Technology,Cottage Grove,United States,DC-13285,Debra Catini,No Discount ,29-12-2014,CA-2014-106803,55016,TEC-AC-10001267,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Profit,Central,Consumer,02-01-2015,Standard Class,Minnesota,Accessories,0,47.92,0.4,4,119.8,4
Office Supplies,New York City,United States,CP-12340,Christine Phan,Low Discount ,23-07-2017,CA-2017-117240,10009,OFF-BI-10000848,Angle-D Ring Binders,Profit,East,Corporate,28-07-2017,Standard Class,New York,Binders,0.2,4.2666,0.325,3,13.128,5
Office Supplies,Green Bay,United States,BF-11020,Barry Französisch,No Discount ,18-09-2017,CA-2017-133333,54302,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Profit,Central,Corporate,22-09-2017,Standard Class,Wisconsin,Paper,0,10.224,0.45,4,22.72,4
Office Supplies,Los Angeles,United States,AR-10510,Andrew Roberts,No Discount ,31-08-2015,CA-2015-112319,90004,OFF-PA-10003441,Xerox 226,Profit,West,Consumer,05-09-2015,Standard Class,California,Paper,0,27.9936,0.48,9,58.32,5
Office Supplies,Atlanta,United States,JC-16105,Julie Creighton,No Discount ,03-11-2017,CA-2017-126046,30318,OFF-LA-10004484,Avery 476,Profit,South,Corporate,07-11-2017,Standard Class,Georgia,Labels,0,5.6994,0.46,3,12.39,4
Technology,Columbus,United States,LH-17020,Lisa Hazard,Medium Discount,08-02-2015,CA-2015-114923,43229,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Loss,East,Consumer,13-02-2015,Standard Class,Ohio,Phones,0.4,-26.9955,-0.25,3,107.982,5
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,No Discount ,13-01-2014,CA-2014-162775,71111,OFF-EN-10001990,Staple envelope,Profit,South,Corporate,15-01-2014,Second Class,Louisiana,Envelopes,0,5.3392,0.47,2,11.36,2
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,No Discount ,13-01-2014,CA-2014-162775,71111,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Profit,South,Corporate,15-01-2014,Second Class,Louisiana,Envelopes,0,25.47,0.5,3,50.94,2
Technology,Bossier City,United States,CS-12250,Chris Selesnick,No Discount ,13-01-2014,CA-2014-162775,71111,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Profit,South,Corporate,15-01-2014,Second Class,Louisiana,Accessories,0,258.696,0.4,6,646.74,2
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,No Discount ,13-01-2014,CA-2014-162775,71111,OFF-BI-10004187,3-ring staple pack,Profit,South,Corporate,15-01-2014,Second Class,Louisiana,Binders,0,2.7072,0.48,3,5.64,2
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,No Discount ,13-01-2014,CA-2014-162775,71111,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Profit,South,Corporate,15-01-2014,Second Class,Louisiana,Storage,0,34.3548,0.06,6,572.58,2
Furniture,Saint Petersburg,United States,AJ-10795,Anthony Johnson,Low Discount ,14-05-2014,CA-2014-106810,33710,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,Profit,South,Corporate,20-05-2014,Standard Class,Florida,Furnishings,0.2,23.316,0.075,2,310.88,6
Furniture,Arlington,United States,LE-16810,Laurel Elliston,No Discount ,19-05-2016,CA-2016-157245,22204,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Profit,South,Consumer,24-05-2016,Standard Class,Virginia,Chairs,0,179.7488,0.28,2,641.96,5
Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Binders,0,9.14,0.5,2,18.28,6
Technology,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,TEC-PH-10004614,AT&T 841000 Phone,Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Phones,0,51.75,0.25,3,207,6
Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,OFF-BI-10000301,GBC Instant Report Kit,Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Binders,0,16.175,0.5,5,32.35,6
Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Binders,0,3.4695,0.45,1,7.71,6
Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,OFF-AR-10004648,Boston 19500 Mighty Mite Electric Pencil Sharpener,Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Art,0,10.881,0.27,2,40.3,6
Furniture,Des Moines,United States,BV-11245,Benjamin Venier,No Discount ,30-01-2017,CA-2017-104220,50315,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Profit,Central,Corporate,05-02-2017,Standard Class,Iowa,Furnishings,0,14.5236,0.42,7,34.58,6
Office Supplies,Cincinnati,United States,DL-12865,Dan Lawera,Low Discount ,29-06-2014,CA-2014-165974,45231,OFF-AR-10003405,"Dixon My First Ticonderoga Pencil, #2",Profit,East,Consumer,06-07-2014,Standard Class,Ohio,Art,0.2,3.6855,0.1125,7,32.76,7
Furniture,San Francisco,United States,NZ-18565,Nick Zandusky,Low Discount ,21-08-2015,CA-2015-144267,94110,FUR-CH-10002335,Hon GuestStacker Chair,Profit,West,Home Office,23-08-2015,First Class,California,Chairs,0.2,40.8006,0.075,3,544.008,2
Office Supplies,San Francisco,United States,NZ-18565,Nick Zandusky,No Discount ,21-08-2015,CA-2015-144267,94110,OFF-PA-10000157,Xerox 191,Profit,West,Home Office,23-08-2015,First Class,California,Paper,0,28.1718,0.47,3,59.94,2
Office Supplies,San Francisco,United States,NZ-18565,Nick Zandusky,No Discount ,21-08-2015,CA-2015-144267,94110,OFF-PA-10001947,Xerox 1974,Profit,West,Home Office,23-08-2015,First Class,California,Paper,0,11.7208,0.49,4,23.92,2
Office Supplies,San Francisco,United States,NZ-18565,Nick Zandusky,No Discount ,21-08-2015,CA-2015-144267,94110,OFF-PA-10003657,Xerox 1927,Profit,West,Home Office,23-08-2015,First Class,California,Paper,0,1.926,0.45,1,4.28,2
Office Supplies,Columbus,United States,BM-11785,Bryan Mills,High Discount ,03-10-2015,US-2015-157014,43229,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Loss,East,Consumer,06-10-2015,Second Class,Ohio,Binders,0.7,-22.449,-0.7,5,32.07,3
Technology,Columbus,United States,BM-11785,Bryan Mills,Low Discount ,03-10-2015,US-2015-157014,43229,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Loss,East,Consumer,06-10-2015,Second Class,Ohio,Accessories,0.2,-2.7,-0.1125,2,24,3
Furniture,Columbus,United States,BM-11785,Bryan Mills,Medium Discount,03-10-2015,US-2015-157014,43229,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Loss,East,Consumer,06-10-2015,Second Class,Ohio,Bookcases,0.5,-15.6156,-0.44,1,35.49,3
Technology,Columbus,United States,BM-11785,Bryan Mills,Low Discount ,03-10-2015,US-2015-157014,43229,TEC-AC-10000057,Microsoft Natural Ergonomic Keyboard 4000,Profit,East,Consumer,06-10-2015,Second Class,Ohio,Accessories,0.2,0.5998,0.0125,2,47.984,3
Office Supplies,Columbia,United States,EA-14035,Erin Ashbrook,No Discount ,23-05-2015,CA-2015-154921,29203,OFF-EN-10000056,Cameo Buff Policy Envelopes,Profit,South,Corporate,28-05-2015,Standard Class,South Carolina,Envelopes,0,87.7443,0.47,3,186.69,5
Office Supplies,Lancaster,United States,CL-12565,Clay Ludtke,Low Discount ,17-03-2017,CA-2017-129567,93534,OFF-BI-10000014,Heavy-Duty E-Z-D Binders,Profit,West,Consumer,21-03-2017,Second Class,California,Binders,0.2,5.8914,0.3375,2,17.456,4
